Başlık,Yazar,Yıl,Dergi,DOI,Scopus URL
Deep learning classification of MGMT status of glioblastomas using multiparametric MRI with a novel domain knowledge augmented mask fusion approach,Koska İ.Ö.,2025-12-01,Scientific Reports,10.1038/s41598-025-87803-0,https://api.elsevier.com/content/abstract/scopus_id/85216996610
Drivers and barriers of unmanned aerial vehicles in emergency logistics operations,Ozbiltekin-Pala M.,2025-09-01,Technology in Society,10.1016/j.techsoc.2025.102894,https://api.elsevier.com/content/abstract/scopus_id/105002114433
"Efficiency of green bond, clean energy, oil price, and geopolitical risk on sectoral decarbonization: Evidence from the globe by daily data and marginal effect analysis",Kartal M.T.,2025-08-15,Applied Energy,10.1016/j.apenergy.2025.125963,https://api.elsevier.com/content/abstract/scopus_id/105004390849
Quantile-on-quantile connectedness of uncertainty with fossil and green energy markets,Evrim Mandaci P.,2025-08-15,Renewable Energy,10.1016/j.renene.2025.123235,https://api.elsevier.com/content/abstract/scopus_id/105003269314
Proposal for a deployable architectural umbrella using scissor linkages and foldable plates,Akgün Y.,2025-08-01,Journal of Constructional Steel Research,10.1016/j.jcsr.2025.109556,https://api.elsevier.com/content/abstract/scopus_id/105002630995
Optimal active and reactive power scheduling for inverter-integrated PV and BESS under inverter current constraints,Polat S.,2025-08-01,Electric Power Systems Research,10.1016/j.epsr.2025.111629,https://api.elsevier.com/content/abstract/scopus_id/105000486632
"Integrating sustainability across the lifecycle of electric vehicle batteries: Circular supply chain challenges, innovations, and global policy impacts",Aishwarya V.M.,2025-07-01,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2025.115671,https://api.elsevier.com/content/abstract/scopus_id/105001856083
Recycled polypropylene-based waste as fine aggregate in cement-based composites: Engineering and microstructural properties,Jameel G.S.,2025-06-27,Construction and Building Materials,10.1016/j.conbuildmat.2025.141652,https://api.elsevier.com/content/abstract/scopus_id/105004265632
Optimization and machine learning analysis of a small-scale oscillating water column (OWC) in regular waves: A computational study,Eid T.,2025-06-01,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2025.115577,https://api.elsevier.com/content/abstract/scopus_id/85219711686
MOGGP: A novel multi objective geometric genetic programming model for drought forecasting,Danandeh Mehr A.,2025-06-01,Physics and Chemistry of the Earth,10.1016/j.pce.2025.103879,https://api.elsevier.com/content/abstract/scopus_id/85216592749
"Developing feasible structural flood mitigation measures for arid regions using hydrological and hydraulic modelling: a case of Baledweyne City, Somalia",Ibrahim A.A.,2025-06-01,Sustainable Water Resources Management,10.1007/s40899-025-01231-6,https://api.elsevier.com/content/abstract/scopus_id/105003148261
Designing a green forward and reverse logistics network with an IoT approach considering backup suppliers and special disposal for epidemics management,Abbasi S.,2025-06-01,Results in Engineering,10.1016/j.rineng.2025.104770,https://api.elsevier.com/content/abstract/scopus_id/105002633227
S-Transformer: a new deep learning model enhanced by sequential transformer encoders for drought forecasting,Danandeh Mehr A.,2025-06-01,Earth Science Informatics,10.1007/s12145-025-01845-6,https://api.elsevier.com/content/abstract/scopus_id/105000996531
Unpacking organizational capabilities and green Innovation for sustainable Performance: The role of environmental regulations in manufacturing industry,Javed H.,2025-05-20,Journal of Cleaner Production,10.1016/j.jclepro.2025.145453,https://api.elsevier.com/content/abstract/scopus_id/105003133505
A conceptual framework for a new service model: digital servitization with an Industrial 4.0 perspective,Adsiz T.,2025-05-02,Journal of Global Operations and Strategic Sourcing,10.1108/JGOSS-08-2022-0091,https://api.elsevier.com/content/abstract/scopus_id/105003814193
WaveConstLib: A java library for signal analysis and wavelet construction,Sarvan Cibil Ç.,2025-05-01,SoftwareX,10.1016/j.softx.2025.102095,https://api.elsevier.com/content/abstract/scopus_id/85218245049
Reflection predicts and leads to decreased conspiracy belief,Bayrak F.,2025-05-01,Cognition,10.1016/j.cognition.2025.106085,https://api.elsevier.com/content/abstract/scopus_id/85217735658
Enhanced Objectivity of AHP for More Reliable Solar Farm Site Selection,Dinçer A.E.,2025-05-01,Energy Science and Engineering,10.1002/ese3.70027,https://api.elsevier.com/content/abstract/scopus_id/105002718404
A preliminary study on the role of personal history of infectious and parasitic diseases on self-reported health across countries,Pfuhl G.,2025-05-01,Public Health,10.1016/j.puhe.2025.02.030,https://api.elsevier.com/content/abstract/scopus_id/105001208443
Task-related fluctuations in action-state orientation: roles of anticipated task difficulty and task-related affect,Peker M.,2025-04-01,Motivation and Emotion,10.1007/s11031-024-10108-8,https://api.elsevier.com/content/abstract/scopus_id/105001507191
Novel Approach Methodologies in Modeling Complex Bioaerosol Exposure in Asthma and Allergic Rhinitis Under Climate Change,Atalay-Sahar E.,2025-03-12,Expert Reviews in Molecular Medicine,10.1017/erm.2025.7,https://api.elsevier.com/content/abstract/scopus_id/105000425868
Investigating the effects of barriers and challenges on Logistics 4.0 in the era of evolving digital technology,Caliskan A.,2025-03-03,Journal of Modelling in Management,10.1108/JM2-01-2024-0026,https://api.elsevier.com/content/abstract/scopus_id/105001069605
"Multi-Objective Optimization of a Folding Kinetic Facade System Proposal for Thermal, Daylight, and Energy Performances",Yaman Y.,2025-03-01,Gazi University Journal of Science,10.35378/gujs.1433809,https://api.elsevier.com/content/abstract/scopus_id/86000763996
Data Reconstruction for Groundwater Wells Proximal to Lakes: A Quantitative Assessment for Hydrological Data Imputation,Can M.,2025-03-01,Water (Switzerland),10.3390/w17050718,https://api.elsevier.com/content/abstract/scopus_id/86000664696
Passive matrix Schottky barrier 2D photodiode array on graphene/SOI platform,Yanilmaz A.,2025-03-01,Applied Physics A: Materials Science and Processing,10.1007/s00339-025-08298-0,https://api.elsevier.com/content/abstract/scopus_id/85218192841
Editorial note for special issue on “Carbon neutrality through Industry 4.0 based smart manufacturing”,Li G.,2025-03-01,Computers and Industrial Engineering,10.1016/j.cie.2025.110916,https://api.elsevier.com/content/abstract/scopus_id/85216525533
"Exploring the trade-offs between carbon emissions, income inequality, and poverty: A theoretical and empirical framework",Coşkun E.A.,2025-03-01,Energy Economics,10.1016/j.eneco.2025.108223,https://api.elsevier.com/content/abstract/scopus_id/85216267660
Gene expression and mucilage adaptations to salinity in germination of extreme halophyte Schrenkiella parvula seeds,Şekerci K.,2025-03-01,Plant Physiology and Biochemistry,10.1016/j.plaphy.2025.109517,https://api.elsevier.com/content/abstract/scopus_id/85215076923
Analysis of inoculation strategies during COVID-19 pandemic with an agent-based simulation approach,Kulaç O.,2025-03-01,Computers in Biology and Medicine,10.1016/j.compbiomed.2024.109564,https://api.elsevier.com/content/abstract/scopus_id/85213878925
Combinatorial optimization methods for yarn dyeing planning,Duran E.,2025-03-01,Flexible Services and Manufacturing Journal,10.1007/s10696-024-09541-1,https://api.elsevier.com/content/abstract/scopus_id/85193380782
Combinatorial optimization methods for yarn dyeing planning,Duran E.,2025-03-01,Flexible Services and Manufacturing Journal,10.1007/s10696-024-09541-1,https://api.elsevier.com/content/abstract/scopus_id/105002011556
Computational Design of an Energy-Efficient Small Axial-Flow Fan Using Staggered Blades with Winglets,Tutar M.,2025-03-01,"International Journal of Turbomachinery, Propulsion and Power",10.3390/ijtpp10010001,https://api.elsevier.com/content/abstract/scopus_id/105001330700
Projected Drought Intensification in the Büyük Menderes Basin Under CMIP6 Climate Scenarios,Rotbeei F.,2025-03-01,Climate,10.3390/cli13030047,https://api.elsevier.com/content/abstract/scopus_id/105001166893
"Robust, extended goal programming with uncertainty sets: an application to a multi-objective portfolio selection problem leveraging DEA",Mohseny-Tonekabony N.,2025-03-01,Annals of Operations Research,10.1007/s10479-023-05811-7,https://api.elsevier.com/content/abstract/scopus_id/105001075247
When does intellectual capital enhance innovation capability? A three-way interaction test,Karadag H.,2025-02-25,International Journal of Entrepreneurial Behaviour and Research,10.1108/IJEBR-12-2021-0976,https://api.elsevier.com/content/abstract/scopus_id/105001087012
Compact and Wideband Cavity-Backed Antenna With Elliptical Coupling Slot and Elliptical Aperture for Satellite Communications Transceiver Applications,Asci Y.,2025-02-01,Radio Science,10.1029/2024RS008120,https://api.elsevier.com/content/abstract/scopus_id/85218940700
SNARC effect in a transfer paradigm: long-lasting effects of stimulus-response compatibility practices,Bulut M.,2025-02-01,Psychological Research,10.1007/s00426-024-02057-1,https://api.elsevier.com/content/abstract/scopus_id/85216231609
"Understanding Environmental Performance in Hospitality Industry: Role of Green Human Resource Management, Environmental Strategy, Environmental Legitimacy and Green Innovation",Arsawan I.W.E.,2025-02-01,"International Journal of Mathematical, Engineering and Management Sciences",10.33889/IJMEMS.2025.10.1.003,https://api.elsevier.com/content/abstract/scopus_id/85214561491
A machine learning-based hybrid approach for maximizing supply chain reliability in a pharmaceutical supply chain,Kumar D.,2025-02-01,Computers and Industrial Engineering,10.1016/j.cie.2024.110834,https://api.elsevier.com/content/abstract/scopus_id/85213244620
Do past ESG scores efficiently predict future ESG performance?,Taskin D.,2025-02-01,Research in International Business and Finance,10.1016/j.ribaf.2024.102706,https://api.elsevier.com/content/abstract/scopus_id/85213218315
One direction? Cultural aspects of the mental number line beyond reading direction,Bulut M.,2025-02-01,Psychological Research,10.1007/s00426-024-02038-4,https://api.elsevier.com/content/abstract/scopus_id/85212760612
Digital or physical satisfaction? The effects of consumers’ digital intentions and physical experiences on revisiting the restaurants.,Öksuz M.,2025-02-01,International Journal of Hospitality Management,10.1016/j.ijhm.2024.104011,https://api.elsevier.com/content/abstract/scopus_id/85210000794
Assessing the Spatial and Temporal Characteristics of Meteorological Drought in Afghanistan,Tayfur G.,2025-02-01,Pure and Applied Geophysics,10.1007/s00024-024-03578-x,https://api.elsevier.com/content/abstract/scopus_id/105001080556
Drivers of implementing Big Data Analytics in food supply chains for transition to a circular economy and sustainable operations management,Kazancoglu Y.,2025-01-23,Journal of Enterprise Information Management,10.1108/JEIM-12-2020-0521,https://api.elsevier.com/content/abstract/scopus_id/85106236523
Institutional pressures and greenwashing in social responsibility: reversing the link with hybridization capability,Can O.,2025-01-21,Management Decision,10.1108/MD-10-2023-1790,https://api.elsevier.com/content/abstract/scopus_id/85200054133
"Fictitious conspiracy, paranormal, and pseudoscience beliefs are closely related to their regular counterparts",Alper S.,2025-01-01,Current Psychology,10.1007/s12144-025-07654-w,https://api.elsevier.com/content/abstract/scopus_id/86000613714
"Correction to: Assessing the Spatial and Temporal Characteristics of Meteorological Drought in Afghanistan (Pure and Applied Geophysics, (2024), 10.1007/s00024-024-03578-x)",Tayfur G.,2025-01-01,Pure and Applied Geophysics,10.1007/s00024-024-03650-6,https://api.elsevier.com/content/abstract/scopus_id/86000377863
Integrating sustainability and quality orientation in the disassembly line balancing operations,Kazançoğlu Y.,2025-01-01,Management of Environmental Quality,10.1108/MEQ-11-2023-0413,https://api.elsevier.com/content/abstract/scopus_id/85219745887
REPETITIVE MODELS in TWENTY-FIRST-CENTURY MUSIC: TEMPORALITY and EXPRESSION,İncirlioǧlu F.K.,2025-01-01,Tempo (United Kingdom),10.1017/S0040298224000664,https://api.elsevier.com/content/abstract/scopus_id/85217718540
